extracted_path,loc_x,loc_y,displacement_mm,force_n,session
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00152.jpg",-140,-12,3.3652,0.099,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00153.jpg",-140,-12,3.3872,0.102,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00154.jpg",-140,-12,3.4092,0.102,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00155.jpg",-140,-12,3.4312,0.103,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00156.jpg",-140,-12,3.453,0.103,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00157.jpg",-140,-12,3.475,0.105,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00158.jpg",-140,-12,3.497,0.105,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00159.jpg",-140,-12,3.5193,0.106,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00160.jpg",-140,-12,3.541,0.107,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00161.jpg",-140,-12,3.5633,0.109,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00162.jpg",-140,-12,3.5852,0.111,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00163.jpg",-140,-12,3.6073,0.111,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00164.jpg",-140,-12,3.6292,0.112,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00165.jpg",-140,-12,3.651,0.114,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00166.jpg",-140,-12,3.6733,0.114,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00167.jpg",-140,-12,3.7007,0.116,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00168.jpg",-140,-12,3.7227,0.117,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00169.jpg",-140,-12,3.7448,0.118,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00170.jpg",-140,-12,3.767,0.12,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00171.jpg",-140,-12,3.7885,0.121,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00172.jpg",-140,-12,3.8105,0.121,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00173.jpg",-140,-12,3.8327,0.124,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00174.jpg",-140,-12,3.8545,0.124,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00175.jpg",-140,-12,3.8768,0.125,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00176.jpg",-140,-12,3.8987,0.126,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00177.jpg",-140,-12,3.9208,0.127,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00178.jpg",-140,-12,3.943,0.129,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00179.jpg",-140,-12,3.9648,0.13,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00180.jpg",-140,-12,3.9865,0.131,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00181.jpg",-140,-12,4.0088,0.132,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00182.jpg",-140,-12,4.0303,0.134,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00183.jpg",-140,-12,4.053,0.135,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00184.jpg",-140,-12,4.0747,0.137,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00185.jpg",-140,-12,4.0968,0.138,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00186.jpg",-140,-12,4.119,0.138,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00187.jpg",-140,-12,4.1405,0.14,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00188.jpg",-140,-12,4.1628,0.141,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00189.jpg",-140,-12,4.1845,0.142,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00190.jpg",-140,-12,4.2068,0.144,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00191.jpg",-140,-12,4.2285,0.144,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00192.jpg",-140,-12,4.2512,0.146,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00193.jpg",-140,-12,4.2728,0.147,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00194.jpg",-140,-12,4.2947,0.148,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00195.jpg",-140,-12,4.3162,0.149,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00196.jpg",-140,-12,4.339,0.15,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00197.jpg",-140,-12,4.3603,0.152,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00198.jpg",-140,-12,4.3832,0.154,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00199.jpg",-140,-12,4.4048,0.154,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00200.jpg",-140,-12,4.427,0.155,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00201.jpg",-140,-12,4.4485,0.156,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00202.jpg",-140,-12,4.471,0.158,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00203.jpg",-140,-12,4.4925,0.161,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00204.jpg",-140,-12,4.5148,0.161,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00205.jpg",-140,-12,4.5422,0.164,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00206.jpg",-140,-12,4.5643,0.165,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00207.jpg",-140,-12,4.5863,0.165,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00208.jpg",-140,-12,4.6082,0.167,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00209.jpg",-140,-12,4.63,0.168,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00210.jpg",-140,-12,4.6522,0.169,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00211.jpg",-140,-12,4.6742,0.171,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00212.jpg",-140,-12,4.6962,0.172,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00213.jpg",-140,-12,4.7185,0.174,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00214.jpg",-140,-12,4.7402,0.175,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00215.jpg",-140,-12,4.7622,0.176,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00216.jpg",-140,-12,4.784,0.178,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00217.jpg",-140,-12,4.8063,0.179,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00218.jpg",-140,-12,4.828,0.18,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00219.jpg",-140,-12,4.8505,0.182,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00220.jpg",-140,-12,4.8725,0.182,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00221.jpg",-140,-12,4.8938,0.184,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00222.jpg",-140,-12,4.9165,0.186,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00223.jpg",-140,-12,4.9385,0.188,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00224.jpg",-140,-12,4.9607,0.188,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00225.jpg",-140,-12,4.9818,0.19,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00226.jpg",-140,-12,5.004,0.192,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00227.jpg",-140,-12,5.026,0.193,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00228.jpg",-140,-12,5.0485,0.194,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00229.jpg",-140,-12,5.0702,0.196,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00230.jpg",-140,-12,5.0927,0.198,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00231.jpg",-140,-12,5.114,0.198,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00232.jpg",-140,-12,5.1362,0.2,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00233.jpg",-140,-12,5.1577,0.202,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00234.jpg",-140,-12,5.1805,0.202,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00235.jpg",-140,-12,5.202,0.203,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00236.jpg",-140,-12,5.2247,0.205,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00237.jpg",-140,-12,5.2465,0.207,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00238.jpg",-140,-12,5.2683,0.208,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00239.jpg",-140,-12,5.2905,0.209,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00240.jpg",-140,-12,5.3122,0.211,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00241.jpg",-140,-12,5.334,0.212,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00242.jpg",-140,-12,5.3565,0.213,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00243.jpg",-140,-12,5.3783,0.214,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00244.jpg",-140,-12,5.4057,0.217,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00245.jpg",-140,-12,5.4275,0.217,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00246.jpg",-140,-12,5.4495,0.219,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00247.jpg",-140,-12,5.4717,0.221,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00248.jpg",-140,-12,5.4932,0.222,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00249.jpg",-140,-12,5.5155,0.224,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00250.jpg",-140,-12,5.5372,0.224,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00251.jpg",-140,-12,5.5592,0.227,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00252.jpg",-140,-12,5.5815,0.228,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00253.jpg",-140,-12,5.6035,0.229,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00254.jpg",-140,-12,5.6255,0.23,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00255.jpg",-140,-12,5.6477,0.231,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00256.jpg",-140,-12,5.6697,0.232,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00257.jpg",-140,-12,5.6913,0.234,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00258.jpg",-140,-12,5.7135,0.236,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00259.jpg",-140,-12,5.7357,0.239,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00260.jpg",-140,-12,5.7578,0.241,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00261.jpg",-140,-12,5.7795,0.242,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00262.jpg",-140,-12,5.8017,0.242,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00263.jpg",-140,-12,5.8235,0.245,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00264.jpg",-140,-12,5.8457,0.245,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00265.jpg",-140,-12,5.8673,0.246,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00266.jpg",-140,-12,5.8897,0.247,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00267.jpg",-140,-12,5.9117,0.248,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00268.jpg",-140,-12,5.9337,0.25,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00269.jpg",-140,-12,5.9555,0.25,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00270.jpg",-140,-12,5.9773,0.251,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00271.jpg",-140,-12,5.9995,0.252,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00272.jpg",-140,-12,6.0217,0.253,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00273.jpg",-140,-12,6.0433,0.254,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00274.jpg",-140,-12,6.0658,0.257,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00275.jpg",-140,-12,6.0877,0.258,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00276.jpg",-140,-12,6.1098,0.261,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00277.jpg",-140,-12,6.1317,0.262,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00278.jpg",-140,-12,6.1537,0.264,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00279.jpg",-140,-12,6.1757,0.265,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00280.jpg",-140,-12,6.1977,0.267,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00281.jpg",-140,-12,6.2197,0.269,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00282.jpg",-140,-12,6.2473,0.272,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00283.jpg",-140,-12,6.2688,0.273,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00284.jpg",-140,-12,6.2913,0.275,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00285.jpg",-140,-12,6.313,0.277,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00286.jpg",-140,-12,6.3352,0.278,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00287.jpg",-140,-12,6.3573,0.28,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00288.jpg",-140,-12,6.3795,0.282,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00289.jpg",-140,-12,6.4015,0.283,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00290.jpg",-140,-12,6.4232,0.286,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00291.jpg",-140,-12,6.4453,0.288,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00292.jpg",-140,-12,6.4675,0.289,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00293.jpg",-140,-12,6.4888,0.291,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00294.jpg",-140,-12,6.5115,0.292,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00295.jpg",-140,-12,6.5332,0.295,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00296.jpg",-140,-12,6.555,0.297,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00297.jpg",-140,-12,6.5775,0.298,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00298.jpg",-140,-12,6.5995,0.3,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00299.jpg",-140,-12,6.6215,0.302,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00300.jpg",-140,-12,6.643,0.303,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00301.jpg",-140,-12,6.6652,0.306,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00302.jpg",-140,-12,6.6873,0.307,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00303.jpg",-140,-12,6.7095,0.308,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00304.jpg",-140,-12,6.7315,0.31,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00305.jpg",-140,-12,6.7535,0.311,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00306.jpg",-140,-12,6.7757,0.314,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00307.jpg",-140,-12,6.797,0.315,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00308.jpg",-140,-12,6.8188,0.317,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00309.jpg",-140,-12,6.8415,0.319,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00310.jpg",-140,-12,6.8633,0.323,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00311.jpg",-140,-12,6.8855,0.324,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00312.jpg",-140,-12,6.907,0.326,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00313.jpg",-140,-12,6.9295,0.327,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00314.jpg",-140,-12,6.9517,0.329,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00315.jpg",-140,-12,6.9732,0.331,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00316.jpg",-140,-12,6.9952,0.333,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00317.jpg",-140,-12,7.0172,0.334,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00318.jpg",-140,-12,7.0397,0.335,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00319.jpg",-140,-12,7.0613,0.337,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00320.jpg",-140,-12,7.0885,0.34,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00321.jpg",-140,-12,7.1107,0.342,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00322.jpg",-140,-12,7.1327,0.344,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00323.jpg",-140,-12,7.1545,0.346,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00324.jpg",-140,-12,7.1767,0.347,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00325.jpg",-140,-12,7.1985,0.35,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00326.jpg",-140,-12,7.2208,0.352,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00327.jpg",-140,-12,7.2428,0.353,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00328.jpg",-140,-12,7.2647,0.355,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00329.jpg",-140,-12,7.2867,0.356,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00330.jpg",-140,-12,7.3085,0.358,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00331.jpg",-140,-12,7.3305,0.361,"(-140, -12)"
"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00332.jpg",-140,-12,7.3527,0.362,"(-140, -12)"
